NCBI Org_name,Common name,Conservation Status,Taxonomic group,Number of genes returned,Number of genes retained,Favoured in duplicate removal 
Anolis carolinensis,Carolina anole,LC,Squamata,473,473,Y
Pogona vitticeps,Central bearded dragon,LC,Squamata,487,138,Y
Gekko japonicus,Schlegel's Japanese gecko,LC,Squamata,478,101,Y
Podarcis muralis,Common wall lizard,LC,Squamata,510,135,Y
Varanus salvator,Common water monitor,LC,Squamata,13,13,Y
Lacerta agilis,sand lizard,LC,Squamata,388,55,
Japalura flaviceps,Japalure (Diploderma flaviceps),LC,Squamata,1,0,
Hydrosaurus amboinensis,Amboina sailfin lizard,NE,Squamata,1,0,
Python bivittatus,burmese python,VU,Squamata,503,137,
Notechis scutatus,Tiger snake,LC,Squamata,409,94,
Nerodia sipedon,common watersnake,LC,Squamata,35,22,
Pantherophis guttatus,corn snake,LC,Squamata,382,68,
Thamnophis elegans,Common garter snake,LC,Squamata,358,48,
Thamnophis sirtalis,Common garter snake,LC,Squamata,452,119,
Pseudonaja textilis,Eastern Brown snake,LC,Squamata,469,95,
Protobothrops mucrosquamatus,brown spotted pit viper/pointed-scaled pit viper,LC,Squamata,503,133,
Chelonia mydas,Green sea turtle,EN,Testudines,447,73,
Chelonoidis abingdonii,Pinta land tortoise,EX,Testudines,378,50,
Chrysemys picta,Painted turtle,LC,Testudines,551,126,
Gopherus evgoodei,Sinaloan Thornscrub Tortoise,VU,Testudines,384,45,
Pelodiscus sinensis,Chinese softshell turtle,VU,Testudines,469,99,
Terrapene carolina triunguis,Three-toes box turtle,VU,Testudines,451,117,
Trachemys scripta elegans,Red -eared Slider turtle,LC,Testudines,361,48,
Alligator mississippiensis,American Alligator,LC,Crocodilia,481,101,
Alligator sinensis,Chinese Alligator,CR,Crocodilia,515,106,
Crocodylus porosus,Saltwater crocodile,LC,Crocodilia,329,29,
Gavialis gangeticus,Gharial,CR,Crocodilia,315,28,
Gallus,Chicken/Red Junglefowl,LC,Aves,819,396,Y
Acanthisitta chloris,Rifleman,LC,Aves,411,98,
Anas platyrhynchos,Mallard duck,LC,Aves,359,52,
Anser cygnoides domesticus,domestic goose,VU,Aves,433,62,
Antrostomus carolinensis,Chuck-will's-widow,NT,Aves,384,116,
Apaloderma vittatum,Bar-tailed trogon,LC,Aves,382,93,
Aptenodytes forsteri,Emperor penguin,NT,Aves,408,49,
Apteryx mantelli,North Island brown kiwi,VU,Aves,433,94,
Apteryx rowi,Okarito kiwi,VU,Aves,431,58,
Aquila chrysaetos,Golden eagle,LC,Aves,345,26,
Athene cunicularia,burrowing owl,LC,Aves,401,51,
Aythya fuligula,tufted duck,LC,Aves,328,27,
Balearica regulorum gibbericeps,Grey crowned crane,EN,Aves,401,83,
Buceros rhinoceros silvestris,Rhinoceros hornbillÿ,NT,Aves,404,100,
Calidris pugnax,Ruff,LC,Aves,453,74,
Calypte anna,Anna's hummingbird,LC,Aves,343,38,
Camarhynchus parvulus,small tree finch,LC,Aves,336,29,
Cariama cristata,"red-legged seriema, or crested cariama",LC,Aves,406,86,
Catharus ustulatus,Swainson's thrush,LC,Aves,339,34,
Chaetura pelagica,chimney swift,VU,Aves,420,44,
Charadrius vociferus,killdeer,LC,Aves,429,53,
Chiroxiphia lanceolata,lance tailed manakin,LC,Aves,334,35,
Chlamydotis macqueenii,Asian Houbara or Macqueens Bustard,VU,Aves,394,88,
Colius striatus,speckled mousebird,LC,Aves,409,116,
Columba livia,rock dove,LC,Aves,432,78,
Corapipo altera,White-ruffed manakin,LC,Aves,327,33,
Corvus brachyrhynchos,American crow,LC,Aves,379,42,
Corvus cornix,hooded crow,NE,Aves,391,49,
Corvus moneduloides,New Caledonian crow,LC,Aves,342,36,
Coturnix japonica,Japanese quail,NT,Aves,445,62,
Cuculus canorus,common cuckoo,LC,Aves,444,50,
Cyanistes caeruleus,Eurasian blue tit,LC,Aves,441,86,
Dromaius novaehollandiae,Common emu,LC,Aves,431,62,
Egretta garzetta,Little egret,LC,Aves,417,47,
Empidonax traillii,Willow flycatcher,LC,Aves,327,35,
Eurypyga helias,Sunbittern,LC,Aves,383,93,
Falco cherrug,Saker Falcon,EN,Aves,399,48,
Falco peregrinus,peregrine falcon,LC,Aves,402,49,
Ficedula albicollis,Collared flycatcher,LC,Aves,428,70,
Fulmarus glacialis,Northern Fulmar,LC,Aves,398,86,
Gavia stellata,Red-throated Loon,LC,Aves,370,92,
Geospiza fortis,medium ground-finch,LC,Aves,385,52,
Haliaeetus albicilla,White-tailed Sea-eagle,LC,Aves,389,101,
Haliaeetus leucocephalus,Bald eagle,LC,Aves,452,45,
Lepidothrix coronata,Blue-crowned manakin,LC,Aves,339,33,
Leptosomus discolor,Cuckoo roller,LC,Aves,401,93,
Lonchura striata domestica,society finch or Bengalese finch,LC,Aves,413,55,
Manacus vitellinus,Golden-collared manakin,LC,Aves,354,50,
Meleagris gallopavo,Turkey,LC,Aves,412,99,
Melopsittacus undulatus,Budgerigar,LC,Aves,386,386,
Merops nubicus,Northern carmine bee-eater,LC,Aves,386,99,
Mesitornis unicolor,Brown Mesite,VU,Aves,403,96,
Neopelma chrysocephalum,Saffron-crested tyrant-manakin,LC,Aves,340,42,
Nestor notabilis,Kea,EN,Aves,390,73,
Nipponia nippon,Crested Ibis,EN,Aves,456,57,
Nothoprocta perdicaria,Chilean tinamou,LC,Aves,428,57,
Numida meleagris,Guineafowl,LC,Aves,430,57,
Opisthocomus hoazin,Hoatzin,LC,Aves,394,52,
Parus major,Great tit,LC,Aves,429,51,
Pelecanus crispus,Dalmatian pelican,NT,Aves,402,87,
Phaethon lepturus,White-tailed tropicbird,LC,Aves,406,103,
Phalacrocorax carbo,Great cormorant,LC,Aves,377,96,
Phasianus colchicus,Common pheasant,LC,Aves,336,30,
Picoides pubescens,Downy woodpecker,LC,Aves,425,49,
Pipra filicauda,Wire-tailed manakin,LC,Aves,345,42,
Pseudopodoces humilis,ground tit,LC,Aves,461,66,
Pterocles gutturalis,Yellow-throated sandgrouse,LC,Aves,385,90,
Pygoscelis adeliae,Ad‚lie penguin,LC,Aves,418,50,
Serinus canaria,Atlantic canary,LC,Aves,381,56,
