TranscriptID,TranscriptID_3,UniprotID,Gene,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,tax_id,Org_name.new_name,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM,Column1,Length,EffectiveLength,Overdispersion,logFC,logCPM,PValue,FDR
PB.7010.1|transcript/12012:1-2076(+)|transcript/12012|m.12781,PB.7010.1|transcript/12012:1-2076(+)|transcript/12012,Q9NRG9,aaas,66.048,539,162,2,127,1737,1,520,0,684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2046,1723.71058211054,1,0.0996909776255489,3.71538486316919,0.847584040870365,1
PB.2837.1|6a2a91|path0:1-1784(+)|transcript/15955|m.5151,PB.2837.1|6a2a91|path0:1-1784(+)|transcript/15955,Q5VUY2,aadacl4,44.477,344,188,3,1,1026,63,405,8.03e-98,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB.2838.1|6a2a91|path1:1-2161(+)|transcript/11047|m.5152,PB.2838.1|6a2a91|path1:1-2161(+)|transcript/11047,Q5VUY2,aadacl4,42.82,383,217,2,79,1224,24,405,6.29e-108,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2028,1705.71058211054,1.00997632263197,-1.1245585223902,6.93418583518594,0.061321592964863,0.576586421697484
PB.2778.1|67914a|path1:1-1875(+)|transcript/14733|m.5057,PB.2778.1|67914a|path1:1-1875(+)|transcript/14733,Q5E9N4,aadat,68.235,425,135,0,1,1275,1,425,0,647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1841,1518.71058211054,1,-0.912702295814166,6.42925517801979,0.0970872706792175,0.700325350408933
PB.2778.2|67914a|path1:22-1698(+)|transcript/16857|m.5058,PB.2778.2|67914a|path1:22-1698(+)|transcript/16857,Q5E9N4,aadat,68.235,425,135,0,1,1275,1,425,0,647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB.6589.1|fb4549|path0:1-2510(+)|transcript/7231|m.12232,PB.6589.1|fb4549|path0:1-2510(+)|transcript/7231,Q8N5Z0,aadat,58.824,425,174,1,1,1272,1,425,0,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2476,2153.71058211054,2.53349885525059,-0.303445904177699,6.03894536854635,0.715208701516178,1
PB.6589.2|fb4549|path0:46-2510(+)|transcript/8322|m.12233,PB.6589.2|fb4549|path0:46-2510(+)|transcript/8322,Q8N5Z0,aadat,56,425,162,2,1,1200,1,425,1.02e-177,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2358,2035.71058211054,1.22712869618126,-1.036994311446,7.45254463439709,0.0874758528331496,0.67592367525854
PB.6590.1|fb4549|path10:1-2764(+)|transcript/5797|m.12234,PB.6590.1|fb4549|path10:1-2764(+)|transcript/5797,Q8N5Z0,aadat,58.824,425,174,1,1,1272,1,425,0,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB.6590.2|fb4549|path10:23-2693(+)|transcript/6879|m.12235,PB.6590.2|fb4549|path10:23-2693(+)|transcript/6879,Q8N5Z0,aadat,56,425,162,2,1,1200,1,425,1.02e-177,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB.6590.3|fb4549|path10:52-2691(+)|transcript/5755|m.12236,PB.6590.3|fb4549|path10:52-2691(+)|transcript/5755,Q5E9N4,aadat,60.984,305,119,0,7,921,121,425,8.15e-144,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2612,2289.71058211054,12.3847786253092,-0.413230745166777,0.848937668484411,0.612009654944693,1
PB.6591.1|fb4549|path11:7-2102(+)|transcript/12629|m.12237,PB.6591.1|fb4549|path11:7-2102(+)|transcript/12629,Q8N5Z0,aadat,59.813,321,128,1,1,960,1,321,2.2e-145,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB.6591.2|fb4549|path11:23-2101(+)|transcript/18919|m.12238,PB.6591.2|fb4549|path11:23-2101(+)|transcript/18919,Q8N5Z0,aadat,59.561,319,128,1,1,954,1,319,4.39e-143,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1514,1191.71058211054,1.16661132019893,-0.551154322584467,7.15990165354909,0.333506163609832,0.963665425291883
PB.4827.1|b4a8ca|path0:1-2267(+)|transcript/9767|m.8902,PB.4827.1|b4a8ca|path0:1-2267(+)|transcript/9767,Q5RET3,aagab,72.843,313,85,0,55,993,2,314,4.68e-152,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2237,1914.71058211054,1,-0.118958645140433,6.9050113341324,0.827188364601962,1
PB.4827.2|b4a8ca|path0:34-1485(+)|transcript/19626|m.8903,PB.4827.2|b4a8ca|path0:34-1485(+)|transcript/19626,Q5RET3,aagab,72.843,313,85,0,25,963,2,314,1.24e-152,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB.4827.3|b4a8ca|path0:37-1658(+)|transcript/17605|m.8904,PB.4827.3|b4a8ca|path0:37-1658(+)|transcript/17605,Q5RET3,aagab,72.843,313,85,0,19,957,2,314,1.48e-152,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB.1482.1|385978|path2:1-1857(+)|transcript/14631|m.2709,PB.1482.1|385978|path2:1-1857(+)|transcript/14631,Q3SZK1,aamp,82.353,340,60,0,76,1095,95,434,0,584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1856,1533.71058211054,2.48490914113248,-0.716546392853364,-1.19209187561366,0.548231739802957,1
PB.1482.2|385978|path2:29-4082(+)|transcript/1072|m.2710,PB.1482.2|385978|path2:29-4082(+)|transcript/1072,Q3SZK1,aamp,80.938,320,61,0,136,1095,115,434,0,542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4024,3701.71058211054,2.33970856716919,0.0546315317602641,3.40445942143547,0.929476580320473,1
PB.2393.1|59d6d7|path1:1-2264(+)|transcript/9675|m.4346,PB.2393.1|59d6d7|path1:1-2264(+)|transcript/9675,P79774,aanat,80,205,41,0,1,615,1,205,1.25e-114,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2237,1914.71058211054,1,1.18033622804002,3.60808907737352,0.0593830995221868,0.574614799171812
PB.2393.2|59d6d7|path1:12-2270(+)|transcript/9823|m.4347,PB.2393.2|59d6d7|path1:12-2270(+)|transcript/9823,P79774,aanat,80,205,41,0,1,615,1,205,1.25e-114,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB.330.1|0be62c|path0:1-1983(+)|transcript/16627|m.477,PB.330.1|0be62c|path0:1-1983(+)|transcript/16627,Q5R5N9,aar2,76.823,384,89,0,34,1185,1,384,0,616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1779,1456.71058211054,1.0340380513628,0.0716919610567181,6.95040237930623,0.896540147485353,1
PB.330.2|0be62c|path0:27-2032(+)|transcript/13290|m.478,PB.330.2|0be62c|path0:27-2032(+)|transcript/13290,Q5R5N9,aar2,76.823,384,89,0,1,1152,1,384,0,616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
