TranscriptID,Differential Expression Statistics,,,,BLASTx Statistics,,,,Genes of Interest Database Search,,
TranscriptID,Overdispersion,logFC,logCPM,PValue,UniprotID,Gene,pident,evalue,Org_name,description,other_designations
PB.3807.1|8f2061|path47:7-1741(+)|transcript/14413|m.6997,7.077610066,3.837577693,4.501305525,1.59E-05,Q3SZB4,acadm,84.135,0,NA,NA,NA
PB.4931.3|b8571c|path20:38-3608(+)|transcript/1966|m.9059,7.01526212,6.671768177,0.962559355,0.000117399,Q95241,app,92.14,0,NA,NA,NA
PB.3445.2|8111f0|path13:1-2049(+)|transcript/12812|m.6304,5.171535037,2.304933512,6.64536003,7.49E-05,P31335,atic,87.291,0,NA,NA,NA
PB.3445.6|8111f0|path13:4-2048(+)|transcript/17986|m.6308,3.134023069,2.750014891,6.004608212,0.000179642,P31335,atic,86.957,0,NA,NA,NA
PB.3446.2|8111f0|path4:1-2608(+)|transcript/5871|m.6310,11.6542844,2.139368333,3.665740371,0.000246424,P31335,atic,87.521,0,NA,NA,NA
PB.9128.1|transcript/4808:1-2827(+)|transcript/4808|m.14870,1,1.764547936,5.721961162,0.001084339,P38936,cdkn1a,38.75,2.97E-28,NA,NA,NA
PB.5276.2|c71572|path0:32-2931(+)|transcript/4500|m.9727,1.084631298,2.084380996,6.625553256,0.000752583,Q7Z692,ceacam19,38.168,3.79E-19,NA,NA,NA
PB.876.2|206df6|path10:20-1995(+)|transcript/12799|m.1572,6.583509647,3.518920764,3.256719609,1.89E-05,P24461,cyp2g1,62.146,0,NA,NA,NA
PB.876.5|206df6|path10:31-1974(+)|transcript/14832|m.1575,4.693415484,3.911729328,1.634352261,0.000157015,P24461,cyp2g1,61.765,3.78E-177,NA,NA,NA
PB.879.1|206df6|path7:41-2171(+)|transcript/12507|m.1583,16.00067802,8.815108874,1.523196443,1.40E-05,P24461,cyp2g1,56.41,5.68E-160,NA,NA,NA
PB.5022.1|bbf2e4|path1:3-3181(+)|transcript/3405|m.9303,1.981070059,3.696443857,5.911164183,1.01E-05,Q10126,f52c9.6,26.446,8.03E-15,NA,NA,NA
PB.6136.2|ea3739|path0:15-2762(+)|transcript/5251|m.11463,1.437629191,4.712234993,0.162609443,0.000954543,P14154,gja1,86.935,1.66E-115,Gallus gallus,gap junction protein alpha 1,gap junction alpha-1 protein|connexin 43
PB.3917.1|92fcf5|path2:1-2087(+)|transcript/12348|m.7251,1.838971297,1.864006677,5.792173448,0.000351146,Q99ME9,gtpbp4,87.154,0,NA,NA,NA
PB.1305.2|31fdc7|path1:93-2420(+)|transcript/10029|m.2322,4.775751397,1.824434956,5.418959397,0.000952722,P52191,kcnj16,66.667,0,NA,NA,NA
PB.3538.2|8589d3|path1:3-4422(+)|transcript/649|m.6552,1.220683085,1.783816134,5.273947136,0.000441648,Q9BT23,limd2,47.887,8.08E-12,NA,NA,NA
PB.3413.1|7f6d24|path1:1-1736(+)|transcript/16515|m.6266,5.233852998,6.079575057,-0.765834815,7.78E-05,P17694,ndufs2,84.718,0,NA,NA,NA
PB.7021.1|transcript/12099:1-2056(+)|transcript/12099|m.12792,1.022081275,3.377724201,4.544974563,1.88E-05,Q98SV0,sepp1b,51.969,1.45E-38,NA,NA,NA
PB.8033.1|transcript/20076:1-1439(+)|transcript/20076|m.13828,1,1.973030532,5.198491138,0.000223789,P34955,serpina1,45.73,4.86E-109,NA,NA,NA
PB.5202.1|c35005|path18:1-2621(+)|transcript/6504|m.9616,2.620447886,2.00014779,5.423848591,0.000693278,P22309,ugt1a1,63.362,0,NA,NA,NA
