TranscriptID,Differential Expression Statistics,,,,BLASTx Statistics,,,,Genes of Interest Database Search,
,Overdispersion,logFC,logCPM,PValue,UniprotID,Gene,pident,evalue,Org_name,description
PB.499.11|124cf9|path4:2108-4109(+)|transcript/7418,1.634227761,2.967037163,4.633482631,4.42E-09,NA,NA,NA,NA,NA,NA
PB.3885.3|918572|path1:1406-3716(+)|transcript/9242,3.962403881,-5.820064959,0.81511805,5.55E-08,NA,NA,NA,NA,NA,NA
PB.7745.1|transcript/17825:1-1637(+)|transcript/17825,1.010844361,5.011831567,2.803145031,7.50E-08,Q96KB5,pbk,60.58,1.50E-37,NA,NA
PB.3681.1|8a3a64|path3:1-2713(+)|transcript/5882,8.951643413,3.700668885,3.945165971,9.98E-08,NA,NA,NA,NA,NA,NA
PB.7443.1|transcript/15548:1-1797(+)|transcript/15548,1.032927992,4.42388562,2.736111468,3.12E-07,P04047,tk1,82.06,8.12E-136,Gallus gallus,thymidine kinase 1
PB.8897.1|transcript/3462:1-3118(+)|transcript/3462,1.062695862,2.866295126,4.168119898,3.54E-07,Q5ZMN2,mcm3,81.86,0,Anser cygnoides domesticus,minichromosome maintenance complex component 3
PB.8300.1|transcript/22013:1-1186(+)|transcript/22013,1,4.211045848,2.200736273,7.75E-07,Q13257,mad2l1,82.00,2.73E-120,NA,NA
PB.499.1|124cf9|path4:1-2080(+)|transcript/11611,1.414302813,2.555325038,5.035825128,8.94E-07,Q9I9K9,gatm,88.03,0,NA,NA
PB.5332.1|c9b505|path1:1-1445(+)|transcript/19992,3.495611152,3.46738809,2.503781459,1.66E-06,B0K025,ostc,93.75,2.21E-80,NA,NA
PB.2003.2|4ab8e8|path0:1458-4018(+)|transcript/6743,1.550899064,2.478772281,4.460564804,2.32E-06,NA,NA,NA,NA,NA,NA
PB.2869.1|6b0af0|path2:1-1117(+)|transcript/22387,1.016602742,2.948828943,5.063375457,2.45E-06,NA,NA,NA,NA,NA,NA
PB.2068.1|4cb9fa|path2:1-2419(+)|transcript/8339,3.417230017,3.356016616,1.541354061,2.96E-06,Q6DEB1,etnppl,76.23,0,NA,NA
PB.5596.1|d429b7|path7:37-1550(+)|transcript/19333,3.68644697,2.287593824,5.194413427,2.98E-06,NA,NA,NA,NA,NA,NA
PB.7967.1|transcript/19601:1-1493(+)|transcript/19601,1,4.975482828,2.490491295,3.35E-06,Q1LZG6,ccnb1,68.08,0,NA,NA
PB.1773.1|42d732|path1:1-1839(+)|transcript/15277,1,5.70007217,1.805333776,4.45E-06,Q5H7C0,cdc20,77.82,0,NA,NA
PB.7361.1|transcript/14810:1-1862(+)|transcript/14810,1,3.733234636,2.425334312,4.87E-06,Q5ZJU5,nusap1,42.69,1.56E-46,NA,NA
PB.6779.1|transcript/10281:1-2227(+)|transcript/10281,1,4.397211617,1.979021241,4.93E-06,Q76I89,ndc80,68.22,0,NA,NA
PB.3848.1|906dad|path15:1-1965(+)|transcript/13370,8.501196803,6.100736836,4.317841371,5.10E-06,NA,NA,NA,NA,NA,NA
PB.8089.1|transcript/20489:1-1427(+)|transcript/20489,1.159436861,4.043504673,2.17706608,6.18E-06,Q9Y619,slc25a15,60.85,3.80E-102,Anolis carolinensis,solute carrier family 25 member 15
PB.1636.2|3ea652|path0:21-2775(+)|transcript/5207,1.261880584,3.530687213,1.310650512,7.66E-06,P79784,entpd2,65.16,0,NA,NA
PB.3849.1|906dad|path19:1-2010(+)|transcript/12836,2.771362015,3.504088142,4.805934811,7.78E-06,NA,NA,NA,NA,NA,NA
PB.7382.1|transcript/14974:1-1845(+)|transcript/14974,1,6.861549972,6.964035217,1.00E-05,P56594,cyp2c21,58.85,0,NA,NA
PB.5022.1|bbf2e4|path1:3-3181(+)|transcript/3405,1.981070059,-3.696443857,5.911164183,1.01E-05,Q10126,f52c9.6,26.45,8.03E-15,NA,NA
PB.3353.2|7cf053|path5:2504-7730(+)|transcript/274,3.793987635,7.54392891,4.982995084,1.02E-05,P07589,fn1,71.56,0,NA,NA
PB.4788.1|b34d56|path10:2-1859(+)|transcript/15227,1.362176584,9.843980299,7.926736436,1.09E-05,NA,NA,NA,NA,NA,NA
