tax_id,Org_name-new_name,Org_name,GeneID,CurrentID,Status,Symbol,Symbol CAPS,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM,Column1
9031,J,Gallus gallus,416811,0,live,AACS,aacs,,acetoacetyl-CoA synthetase,acetoacetyl-CoA synthetase,,15,NC_006102.5,4746614,4783923,minus,18,,
38654,I,Alligator sinensis,102374204,0,live,ABCA5,abca5,,ATP binding cassette subfamily A member 5,"ATP-binding cassette sub-family A member 5|ATP-binding cassette, sub-family A (ABC1), member 5",,Un,,,,,,,
9031,J,Gallus gallus,418791,0,live,ABCC4,abcc4,,ATP binding cassette subfamily C member 4,"multidrug resistance-associated protein 4|ATP-binding cassette, sub-family C (CFTR/MRP), member 4|multidrug resistance protein 4",,1,NC_006088.5,147470494,147695961,plus,37,,
9031,J,Gallus gallus,423767,0,live,ABCG2,abcg2,,ATP binding cassette subfamily G member 2 (Junior blood group),"broad substrate specificity ATP-binding cassette transporter ABCG2|ATP-binding cassette sub-family G member 2|ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)",,6,NC_006093.5,18374408,18392256,plus,18,,
28377,A,Anolis carolinensis,100565298,0,live,ace2,ace2,,angiotensin I converting enzyme 2,angiotensin-converting enzyme 2,,3,NC_014778.1,121501128,121544841,minus,20,,
9031,J,Gallus gallus,373916,0,live,ACO1,aco1,"IREB1, IREBP","aconitase 1, soluble",cytoplasmic aconitate hydratase|IRE-BP 1|IRE-binding protein 1|Iron responsive element binding protein|citrate hydro-lyase|iron-responsive element-binding protein 1,,Z,NC_006127.5,71167742,71204524,plus,21,,
9031,J,Gallus gallus,420090,0,live,ACSBG2,acsbg2,,acyl-CoA synthetase bubblegum family member 2,long-chain-fatty-acid--CoA ligase ACSBG2|arachidonate--CoA ligase ACSBG2,,28,NC_006115.5,1746737,1763012,plus,18,,
9031,J,Gallus gallus,421534,0,live,ACTA1,acta1,,"actin alpha 1, skeletal muscle","actin, alpha skeletal muscle|a-actin|alpha-actin-1",,3,NC_006090.5,40088178,40090517,minus,7,,
9031,J,Gallus gallus,373918,0,live,ACTN1,actn1,,"actinin, alpha 1",alpha-actinin-1|F-actin cross-linking protein|alpha-actinin cytoskeletal isoform|non-muscle alpha-actinin-1,,5,NC_006092.5,28427294,28508906,plus,23,,
9031,J,Gallus gallus,419194,0,live,ADA,ada,,adenosine deaminase,adenosine deaminase|adenosine aminohydrolase,,20,NC_006107.5,5355077,5367713,plus,11,,
8496,I,Alligator mississippiensis,102567875,0,live,ADCK5,adck5,Y1Q_0017839,aarF domain containing kinase 5,"uncharacterized aarF domain-containing protein kinase 5|solute carrier family 52 (riboflavin transporter), member 3",,Un,,,,,,,
9031,J,Gallus gallus,771920,0,live,ADH1C,adh1c,"ADH-1, ADH1, ADH1B","alcohol dehydrogenase 1C (class I), gamma polypeptide","alcohol dehydrogenase 1|alcohol dehydrogenase 1B (class I), beta polypeptide|alcohol dehydrogenase I|beta polypeptide",,4,NC_006091.5,59984674,59995027,minus,10,,
9031,J,Gallus gallus,421918,0,live,ADI1,adi1,"Fe-ARD, MTCBP-1, Ni-ARD",acireductone dioxygenase 1,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase|aci-reductone dioxygenase|acireductone dioxygenase (Ni(2+)-requiring)|fe-ARD",,3,NC_006090.5,93688358,93695541,minus,4,,
9031,J,Gallus gallus,374212,0,live,ADORA1,adora1,,adenosine A1 receptor,adenosine receptor A1|A1 adenosine receptor,,26,NC_006113.5,991509,1008529,plus,3,,
9031,J,Gallus gallus,428799,0,live,ADRA2C,adra2c,ADRA2B,adrenoceptor alpha 2C,"alpha-2C adrenergic receptor|adrenergic, alpha-2C-, receptor|alpha-2B adrenergic receptor",,4,NC_006091.5,81565509,81578375,minus,1,,
9031,J,Gallus gallus,428579,0,live,ADSS2,adss2,"ADSS, AdSS 2",adenylosuccinate synthase 2,adenylosuccinate synthetase isozyme 2|adSS 2,,3,NC_006090.5,34865300,34897947,plus,13,,
9031,J,Gallus gallus,427535,0,live,AGRP,agrp,,agouti related neuropeptide,agouti-related protein|agouti related protein homolog,,11,NC_006098.5,1397797,1406827,minus,4,,
9031,J,Gallus gallus,421543,0,live,AGT,agt,SERPINA8,angiotensinogen,"angiotensinogen|Serpin A8|angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",,3,NC_006090.5,40543173,40555078,minus,7,,
28377,A,Anolis carolinensis,100558459,0,live,aicda,aicda,,activation induced cytidine deaminase,single-stranded DNA cytosine deaminase,,2,NC_014777.1,81517926,81533176,plus,5,,
9031,J,Gallus gallus,396002,0,live,AK1,ak1,,adenylate kinase 1,adenylate kinase isoenzyme 1,,17,NC_006104.5,5248345,5253188,plus,10,,
9031,J,Gallus gallus,396092,0,live,ALCAM,alcam,"BEN, DM-GRASP, JC7, SC1",activated leukocyte cell adhesion molecule,CD166 antigen|BEN glycoprotein|SC1 glycoprotein,,1,NC_006088.5,87615066,87731031,plus,17,,
9031,J,Gallus gallus,395264,0,live,ALDH1A1,aldh1a1,GGADHR,aldehyde dehydrogenase 1 family member A1,"retinal dehydrogenase 1|ALDH class 1|ALDH-E1|ALHDII|RALDH 1|aldehyde dehydrogenase family 1 member A1|aldehyde dehydrogenase, cytosolic|cytosolic aldehyde dehydrogenase|ralDH1",,Z,NC_006127.5,35905454,35958939,minus,16,,
9031,J,Gallus gallus,395844,0,live,ALDH1A2,aldh1a2,RALDH2,aldehyde dehydrogenase 1 family member A2,retinal dehydrogenase 2|RALDH 2|RALDH(II)|aldehyde dehydrogenase 1A2|aldehyde dehydrogenase family 1 member A2|retinaldehyde dehydrogenase 2|retinaldehyde-specific dehydrogenase type 2,,10,NC_006097.5,7557497,7611703,plus,13,,
9031,J,Gallus gallus,427308,0,live,ALDOB,aldob,ALDB,"aldolase, fructose-bisphosphate B","fructose-bisphosphate aldolase B|aldolase B, fructose-bisphosphate|liver-type aldolase",,Z,NC_006127.5,65329391,65338114,plus,9,,
9031,J,Gallus gallus,395492,0,live,ALDOC,aldoc,,"aldolase, fructose-bisphosphate C","fructose-bisphosphate aldolase C|aldolase C, fructose-bisphosphate|brain-type aldolase",,19,NC_006106.5,5884418,5888099,minus,9,,
9031,J,Gallus gallus,396536,0,live,APOA1,apoa1,,apolipoprotein AI,apolipoprotein A-I|apo-AI|apoA-I|apolipoprotein A1,,24,NC_006111.5,5140178,5141688,minus,4,,
9031,J,Gallus gallus,396535,0,live,APOB,apob,,apolipoprotein B,apolipoprotein B|apolipoprotein B (including Ag(x) antigen),,3,NC_006090.5,102199405,102233660,minus,29,,
8839,K,Anas platyrhynchos,101792029,0,live,APOBEC1,apobec1,,apolipoprotein B mRNA editing enzyme catalytic subunit 1,C->U-editing enzyme APOBEC-1,,1,NC_040046.1,123577840,123586481,plus,6,,
13735,H,Pelodiscus sinensis,102447070,0,live,APOBEC2,apobec2,,apolipoprotein B mRNA editing enzyme catalytic subunit 2,C->U-editing enzyme APOBEC-2,,Un,,,,,,,
9031,J,Gallus gallus,396476,0,live,APOV1,apov1,"APO-II, APO-VLDL-II, APOVLDLII, apovitellenin-1",apovitellenin 1,apovitellenin-1|apovitellenin I|lipoprotein|very low density lipoprotein II,,1,NC_006088.5,84330778,84333802,minus,4,,
103944,G,Protobothrops mucrosquamatus,107284354,0,live,AQP1,aqp1,,aquaporin 1 (Colton blood group),aquaporin-1,,Un,,,,,,,
103695,B,Pogona vitticeps,110088457,0,live,AQP10,aqp10,,aquaporin 10,aquaporin-10,,Un,,,,,,,
28377,A,Anolis carolinensis,100566247,0,live,aqp11,aqp11,,aquaporin 11,aquaporin-11,,Un,,,,,,,
9031,J,Gallus gallus,424861,0,live,AQP12A,aqp12a,"AQP12, AQP12B",aquaporin 12A,aquaporin 12A|aquaporin 12|aquaporin 12B,,9,NC_006096.5,4800305,4802155,minus,3,,
57421,K,Merops nubicus,103773696,0,live,AQP2,aqp2,N331_08142,aquaporin 2,aquaporin-2|Aquaporin-2,,Un,,,,,,,
28377,A,Anolis carolinensis,100563165,0,live,aqp3,aqp3,,aquaporin 3 (Gill blood group),aquaporin-3,,Un,,,,,,,
9031,J,Gallus gallus,421088,0,live,AQP4,aqp4,aquaporin-4,aquaporin 4,aquaporin-4,,2,NC_006089.5,104434445,104447281,minus,6,,
8496,I,Alligator mississippiensis,102565472,0,live,AQP5,aqp5,Y1Q_0017708,aquaporin 5,aquaporin-5,,Un,,,,,,,
28377,A,Anolis carolinensis,100562966,0,live,aqp7,aqp7,,aquaporin 7,aquaporin-7,,Un,,,,,,,
103695,B,Pogona vitticeps,110085050,0,live,AQP8,aqp8,,aquaporin 8,aquaporin-8,,Un,,,,,,,
103695,B,Pogona vitticeps,110074546,0,live,AQP9,aqp9,,aquaporin 9,aquaporin-9,,Un,,,,,,,
8663,G,Notechis scutatus,113428811,0,live,ARHGEF16,arhgef16,,Rho guanine nucleotide exchange factor 16,rho guanine nucleotide exchange factor 16,,Un,,,,,,,
9031,J,Gallus gallus,374115,0,live,ARNTL,arntl,BMAL1,aryl hydrocarbon receptor nuclear translocator like,aryl hydrocarbon receptor nuclear translocator-like protein 1|BMAL1b'|bHLH-PAS transcription factor BMAL1|brain and muscle ARNT-like 1|cBMAL1|clock protein,,5,NC_006092.5,7819805,7864576,minus,21,,
9031,J,Gallus gallus,373925,0,live,ARNTL2,arntl2,,aryl hydrocarbon receptor nuclear translocator-like 2,aryl hydrocarbon receptor nuclear translocator-like protein 2|brain and muscle ARNT-like 2|cBMAL2|transcription factor BMAL2,,1,NC_006088.5,68130352,68167202,plus,22,,
9031,J,Gallus gallus,396498,0,live,ASL1,asl1,"ASL, CRYD1, D-CRY",argininosuccinate lyase 1,delta-1 crystallin|delta crystallin I|delta-crystallin 1|delta1-crystallin,,19,NC_006106.5,5095412,5103187,minus,18,,
9031,J,Gallus gallus,417545,0,live,ASL2,asl2,"ASL, CRYD2, delta-2-crystallin",argininosuccinate lyase 2,argininosuccinate lyase|ASAL|arginosuccinase|delta crystallin II|delta-2 crystallin,,19,NC_006106.5,5082589,5091638,minus,17,,
9031,J,Gallus gallus,420574,0,live,ASNS,asns,,asparagine synthetase (glutamine-hydrolyzing),asparagine synthetase [glutamine-hydrolyzing]|glutamine-dependent asparagine synthetase,,2,NC_006089.5,24662428,24676238,minus,14,,
8496,I,Alligator mississippiensis,102565117,0,live,ASNSD1,asnsd1,Y1Q_0008843,asparagine synthetase domain containing 1,asparagine synthetase domain-containing protein 1,,Un,,,,,,,
103695,B,Pogona vitticeps,110079638,0,live,ASS1,ass1,,argininosuccinate synthase 1,argininosuccinate synthase,,Un,,,,,,,
62051,E,Varanus salvator,6386120,0,live,ATP6,atp6,,ATP synthase F0 subunit 6,,,MT,NC_010974.1,7830,8513,plus,0,,
9031,J,Gallus gallus,395821,0,live,ATP6V1A,atp6v1a,,ATPase H+ transporting V1 subunit A,"V-type proton ATPase catalytic subunit A|A2 isoform of vacuolar H+-ATPase subunit A|ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A|V-ATPase 69 kDa subunit|V-ATPase subunit A|vacuolar H+-ATPase A subunit|vacuolar proton pump subunit alpha",,1,NC_006088.5,79969015,79997370,minus,17,,
62051,E,Varanus salvator,6386115,0,live,ATP8,atp8,,ATP synthase F0 subunit 8,,,MT,NC_010974.1,7675,7839,plus,0,,
156563,K,Cyanistes caeruleus,111940982,0,live,ATP8B1,atp8b1,,ATPase phospholipid transporting 8B1,phospholipid-transporting ATPase IC,,Z,,,,,,,
128390,K,Nipponia nippon,104012304,0,live,ATP8B2,atp8b2,Y956_00446,ATPase phospholipid transporting 8B2,phospholipid-transporting ATPase ID|putative phospholipid-transporting ATPase ID,,Un,,,,,,,
55661,K,Cuculus canorus,104067755,0,live,B9D2,b9d2,,B9 domain containing 2,B9 domain-containing protein 2|B9 protein domain 2,,Un,,,,,,,
8479,H,Chrysemys picta,101947548,0,live,BAZ1A,baz1a,,bromodomain adjacent to zinc finger domain 1A,bromodomain adjacent to zinc finger domain protein 1A,,4,NC_024221.1,43910811,44022560,minus,26,,
9157,K,Parus major,107207307,0,live,BAZ2B,baz2b,,bromodomain adjacent to zinc finger domain 2B,bromodomain adjacent to zinc finger domain protein 2B,,7,NC_031776.1,37474063,37587487,minus,39,,
57068,K,Acanthisitta chloris,103801428,0,live,BCDIN3D,bcdin3d,N310_11759,BCDIN3 domain containing RNA methyltransferase,pre-miRNA 5'-monophosphate methyltransferase|Pre-miRNA 5'-monophosphate methyltransferase,,Un,,,,,,,
8663,G,Notechis scutatus,113426026,0,live,BCKDHA,bckdha,,branched chain keto acid dehydrogenase E1 subunit alpha,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial|branched chain keto acid dehydrogenase E1, alpha polypeptide",,Un,,,,,,,
9031,J,Gallus gallus,396282,0,live,BCL2,bcl2,"BCL-2, PCKBCL2","BCL2, apoptosis regulator",apoptosis regulator Bcl-2|B-cell CLL/lymphoma 2,,2,NC_006089.5,67837316,67924872,plus,2,,
9031,J,Gallus gallus,373954,0,live,BCL2L1,bcl2l1,"BCL2L, Bcl-xl, bcl-x",BCL2 like 1,bcl-2-like protein 1|apoptosis regulator Bcl-X|bcl2-L-1,,20,NC_006107.5,10015061,10033228,minus,6,,
