From	To
Q6PBC3	chchd4
P55209	NAP1L1
P36633	Aoc1
Q8JZQ5	Aoc1
Q9H063	MAF1
A1XBS5	FAM92A
O43592	XPOT
P12344	GOT2
P00508	GOT2
B0BN94	Fam136a
Q4FZU8	Ripor1
Q6ZS17	RIPOR1
Q5FWK3	Arhgap1
P78562	PHEX
Q9D1I5	Mcee
Q9JLZ1	Glrx3
Q8VC04	Tmem106a
O75643	SNRNP200
A8E7I5	ttc36
Q5RC24	UQCRB
Q5ZI05	LMBRD1
Q2HJH1	DNPEP
P56670	MAZ
P56671	Maz
Q5RDI2	HSBP1
Q2T9W0	KCTD13
P24386	CHM
P26374	CHML
Q9Y600	CSAD
Q5ZLS7	GLYR1
Q5RC21	TSNAX
Q9I8C7	CHRNA10
Q9JJ22	Erap1
Q9NZ08	ERAP1
P14314	PRKCSH
Q5F368	P33MONOX
Q0IHF9	saraf
Q8IXI2	RHOT1
O15254	ACOX3
Q96PU5	NEDD4L
Q5RBF2	NEDD4L
Q9EPR2	Pla2g12a
Q9BZM1	PLA2G12A
Q06066	YBX1
P67809	YBX1
P62961	Ybx1
Q7L2K0	TEDC2
Q9D4D4	Tktl2
Q9BYW1	SLC2A11
Q969U7	PSMG2
Q9EPZ8	Rnf103
Q90986	LY6E
Q14847	LASP1
O77506	LASP1
O14681	EI24
Q9NRL2	BAZ1A
Q62622	Eif4ebp1
P08621	SNRNP70
Q9CPV3	Mrpl42
A6NN90	C2orf81
Q96EN8	MOCOS
Q5F3S2	PLEKHB2
E9Q1P8	Irf2bp2
P07751	SPTAN1
O70352	Cd82
Q969M1	TOMM40L
Q3T1L0	Aldh16a1
Q6NYB7	Rab1A
O93390	SPARC
Q6NVU2	ppp1cc
Q5ZJ64	EIF3M
P21126	Ubl4a
Q8CC86	Naprt
Q6XQN6	NAPRT
Q91XV4	DCXR
P60764	Rac3
Q9HC62	SENP2
P35251	RFC1
Q9BWJ5	SF3B5
Q2PG37	CDC123
Q6IP52	chmp2a
Q9NWD8	TMEM248
Q9UBS9	SUCO
P11498	PC
Q29RK2	PC
P68136	Acta1
Q2TAL8	QRICH1
O18973	RABGEF1
Q4R779	NOP58
Q9Y2X3	NOP58
O35459	Ech1
Q3SYY7	OCIAD2
Q9BXK5	BCL2L13
P28497	CAPZA2
Q8N5D0	WDTC1
O60573	EIF4E2
Q8BMB3	Eif4e2
Q8IX03	WWC1
A4IIJ3	wwc1
P46976	GYG1
Q9CYZ8	Ssbp2
P81877	SSBP2
P52162	MAX
Q3T0B9	CEBPG
Q91VF2	Hnmt
Q61542	Stard3
Q76LS9	Mindy1
P18461	FGFR2
Q9P2G9	KLHL8
Q9XSM0	PTGDS
O02853	PTGDS
Q5R601	VAPA
Q96D70	R3HDM4
Q5RCF7	PDZK1
Q5ZHV7	SPRYD7
O75382	TRIM3
Q3UPL0	Sec31a
Q5R4F4	SEC31A
Q5F3X8	SEC31A
P43233	CTSB
Q8BK26	Fbxo44
Q3SX24	FBXO6
Q9XT77	SLC5A6
Q9Y289	SLC5A6
P63083	S100a5
P0CC03	Sult6b1
Q6WG18	SULT6B1
F1QYJ6	sult6b1
Q6IQ49	SDE2
Q679P3	PDLIM7
O88576	Slc6a18
Q5ZIA2	MAP7
P31029	AGXT
Q96CF2	CHMP4C
Q6GNN8	chmp4c
Q91YT2	Rnf185
Q7PCJ8	SAT2
Q6P8J2	Sat2
Q60749	Khdrbs1
Q63028	Add1
P35611	ADD1
Q3ZC12	EIF3G
Q13247	SRSF6
Q63570	Psmc4
Q4R7L3	PSMC4
Q9NUU6	OTULINL
P16258	OSBP
P22059	OSBP
Q9NUQ2	AGPAT5
Q9Y2U9	KLHDC2
Q5M9P8	arl6
P24058	ASL2
P24057	ASL1
Q969T9	WBP2
Q96A49	SYAP1
P06745	Gpi
Q29223	RPL34
P61222	Abce1
Q9R1K5	Fzr1
Q9UM11	FZR1
Q8BPB0	Mob1b
Q80SW1	Ahcyl1
Q92176	CORO1A
Q9UJ83	HACL1
Q765P1	CLDN2
A2T812	ZNF287
O95352	ATG7
Q5ZKY2	ATG7
Q5RCZ2	CYB561
Q5ZJI9	UBAC1
Q92184	ST6GALNAC2
Q2HJ10	Slc30a2
